#Controller/Action/Helper/Eventdocuments.php
"Secure event document iPaper cannot be embedded on other sites. Note that this is a permanent setting for a event document during its first upload. Thus any change in this setting will only work for new event document uploads.(Note : This setting will only apply to new event documents created and not to the existing event documents on the site. )";"Secure event document iPaper cannot be embedded on other sites. Note that this is a permanent setting for a event document during its first upload. Thus any change in this setting will only work for new event document uploads.(Note : This setting will only apply to new event documents created and not to the existing event documents on the site. )"
"Make iPaper event documents secure. Do not allow embedding on other sites.";"Make iPaper event documents secure. Do not allow embedding on other sites."
"Do not make iPaper event documents secure. Allow embedding on other sites.";"Do not make iPaper event documents secure. Allow embedding on other sites."
"Show security option to users. Allow users to choose if their event documents should be secure or not.";"Show security option to users. Allow users to choose if their event documents should be secure or not."
"Email attachment Settings";"Email attachment Settings"
"Enable emailing as attachments for event documents on your site.";"Enable emailing as attachments for event documents on your site."
"Allow members to choose during event document creation if their event documents could be emailed as attachments or not.";"Allow members to choose during event document creation if their event documents could be emailed as attachments or not."
"Save Changes";"Save Changes"
"Show Full Title Without Truncation";"Show Full Title Without Truncation"
"Do you want to show the full event document title without truncation on various pages like widgets, event profile etc..";"Do you want to show the full event document title without truncation on various pages like widgets, event profile etc.."
"Document Viewer Height";"Document Viewer Height"
"What should be the height in pixels of the document viewer on document view page ?";"What should be the height in pixels of the document viewer on document view page ?"
"Document Viewer Width";"Document Viewer Width"
"What should be the width in pixels of the document viewer on document view page ?":"What should be the width in pixels of the document viewer on document view page ?"

#Form/Admin/Widget.php
"Widget Settings";"Widget Settings"
"Configure the settings for the various widgets available with this plugin.";"Configure the settings for the various widgets available with this plugin."
"Event Profile Most Commented Documents";"Event Profile Most Commented Documents"
"How many documents should be shown in the Event Profile Most Commented Documents (value cannot be empty or zero) ?";"How many documents should be shown in the Event Profile Most Commented Documents (value cannot be empty or zero) ?"
"Event Profile Featured Documents";"Event Profile Featured Documents"
"How many documents should be shown in the Event Profile Featured Documents (value cannot be empty or zero) ?";"How many documents should be shown in the Event Profile Featured Documents (value cannot be empty or zero) ?"
"Event Profile Popular Documents";"Event Profile Popular Documents"
"How many documents should be shown in the Event Profile Popular Documents (value cannot be empty or zero) ? [Note: Popularity here is based on the number of views.]";"How many documents should be shown in the Event Profile Popular Documents (value cannot be empty or zero) ? [Note: Popularity here is based on the number of views.]"
"Event Profile Top Rated Documents";"Event Profile Top Rated Documents"
"How many documents should be shown in the top Event Profile Top Rated Documents (value cannot be empty or zero) ?";"How many documents should be shown in the top Event Profile Top Rated Documents (value cannot be empty or zero) ?"
"Event Profile Recent Documents";"Event Profile Recent Documents"
"How many documents should be shown in the Event Profile Recent Documents (value cannot be empty or zero) ?";"How many documents should be shown in the Event Profile Recent Documents (value cannot be empty or zero) ?"

#Form/Admin/Settings/Level.php
"Member Level";"Member Level"
"Member Level Settings";"Member Level Settings"
"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below.";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"Document View Options";"Document View Options"
"Your users can choose from any of the options checked below when they decide who can view the documents of their event. If you do not check any options, everyone will be allowed to view.";"Your users can choose from any of the options checked below when they decide who can view the documents of their event. If you do not check any options, everyone will be allowed to view."
"Document Creation Options";"Document Creation Options"
"Your users can choose from any of the options checked below when they decide who can create the documents in their event. If you do not check any options, everyone will be allowed to create.";"Your users can choose from any of the options checked below when they decide who can create the documents in their event. If you do not check any options, everyone will be allowed to create."
"Allow Creation of Documents in Events?";"Allow Creation of Documents in Events?"
"Do you want to let members of this level to create documents in event ?";"Do you want to let members of this level to create documents in event ?"
"Yes, allow members to create documents in all events, including private ones.";"Yes, allow members to create documents in all events, including private ones."
"Yes, allow members to create documents in events.";"Yes, allow members to create documents in events."
"No, do not allow members to create documents in events.";"No, do not allow members to create documents in events."

#Model/Eventdocument.php
"invalid argument passed to setFile";"invalid argument passed to setFile"

#settings/content.php
"Event Profile Documents";"Event Profile Documents"
"Displays a event’s documents on its profile.";"Displays a event’s documents on its profile."
"Event";"Event"
"Event Profile Recent Documents";"Event Profile Recent Documents"
"Displays list of event’s recent documents. Setting for this widget available in widget settings tab of Event - Documents admin.";"Displays list of event’s recent documents. Setting for this widget available in widget settings tab of Event - Documents admin."
"Event Documents at Event-profile page";"Event Documents at Event-profile page"
"Recent Event Documents";"Recent Event Documents"
"Event Profile Popular Documents";"Event Profile Popular Documents"
"Displays list of event’s popular documents. Setting for this widget available in widget settings tab of Event - Documents admin.";"Displays list of event’s popular documents. Setting for this widget available in widget settings tab of Event - Documents admin."
"Popular Event Documents";"Popular Event Documents"
"Event Profile Most Commented Documents";"Event Profile Most Commented Documents"
"Displays list of event’s most commented documents. Setting for this widget available in widget settings tab of Event - Documents admin.";"Displays list of event’s most commented documents. Setting for this widget available in widget settings tab of Event - Documents admin."
"Most Commented Event Documents";"Most Commented Event Documents"
"Event Profile Top Rated Documents";"Event Profile Top Rated Documents"
"Displays list of event’s top rated documents. Setting for this widget available in widget settings tab of Event - Documents admin.";"Displays list of event’s top rated documents. Setting for this widget available in widget settings tab of Event - Documents admin."
"Top Rated Event Documents";"Top Rated Event Documents"
"Event Profile Featured Documents";"Event Profile Featured Documents"
"Displays list of event’s featured documents. Setting for this widget available in widget settings tab of Event - Documents admin.";"Displays list of event’s featured documents. Setting for this widget available in widget settings tab of Event - Documents admin."
"Featured Event Documents";"Featured Event Documents"
"Event Profile Most Liked Documents";"Event Profile Most Liked Documents"
"Displays list of event’s most liked documents. Setting for this widget available in widget settings tab of Event - Documents admin.";"Displays list of event’s most liked documents. Setting for this widget available in widget settings tab of Event - Documents admin."
"Most Liked Event Documents";"Most Liked Event Documents"

#settings/install.php
"<span style='color:red'>Note: You do not have installed the Event Plugin on your site. Please install first Event Plugin on your site before installing this Event Document Plugin.</span><br/> <a href='" . $base_url . "/manage'>Click here</a> to go Manage Packages.";"<span style='color:red'>Note: You do not have installed the Event Plugin on your site. Please install first Event Plugin on your site before installing this Event Document Plugin.</span><br/> <a href='" . $base_url . "/manage'>Click here</a> to go Manage Packages."

#settings/manifest.php
"Event Documents";"Event Documents"
"Event Documents / Scribd iPaper plugin allows your users to upload and display event documents; share, print and download them;give comments.";"Event Documents / Scribd iPaper plugin allows your users to upload and display event documents; share, print and download them;give comments."

#settings/my.sql
"Global Settings";"Global Settings"
"FAQ";"FAQ"
"{item:$subject} created a new event document:";"{item:$subject} created a new event document:"
"{item:$subject} commented on {item:$owner}'s {item:$object:event document}: {body:$body}";"{item:$subject} commented on {item:$owner}'s {item:$object:event document}: {body:$body}"
"{item:$subject} created a new document:";"{item:$subject} created a new document:"

#views/scripts/_formvisibility.tpl
"Documents visible only on this website will be private and available only on your website, whereas the ones which will be public on Scribd.com will be available to everyone on Scribd";"Documents visible only on this website will be private and available only on your website, whereas the ones which will be public on Scribd.com will be available to everyone on Scribd"

#views/scripts/admin/delete.tpl
"Delete Event Document ?";"Delete Event Document ?"
"Are you sure that you want to delete this event document ? It will not be recoverable after being deleted.";"Are you sure that you want to delete this event document ? It will not be recoverable after being deleted."
"cancel";"cancel"

#views/scripts/admin-fields/index.tpl
"Event - Documents Extension";"Event - Documents Extension"
"Create custom fields/questions for event documents, which your members will be asked to fill while creating event documents. To reorder the custom questions, click on their names and drag them up or down.";"Create custom fields/questions for event documents, which your members will be asked to fill while creating event documents. To reorder the custom questions, click on their names and drag them up or down."
"Add Question";"Add Question"
"Add Heading";"Add Heading"
"Save Order";"Save Order"

#views/scripts/admin-manage/index.tpl
"This page lists all the event documents uploaded by the users. Here, you can monitor event documents, delete them, make event documents approve / dis-approve them.";"This page lists all the event documents uploaded by the users. Here, you can monitor event documents, delete them, make event documents approve / dis-approve them."
"Are you sure you want to delete selected event documents ?";"Are you sure you want to delete selected event documents ?"
"%s event document found";"%s event document found";"%s event documents found"
"ID";"ID"
"Title";"Title"
"Owner";"Owner"
"Event Name";"Event Name"
"Featured";"Featured"
"Approved";"Approved"
"Views";"Views"
"Comments";"Comments"
"Creation Date";"Creation Date"
"Options";"Options"
"Featured";"Featured"
"Un-featured";"Un-featured"
"Dis-approve event document";"Dis-approve event document"
"Approve event document";"Approve event document"
"view";"view"
"delete";"delete"
"Delete Selected";"Delete Selected"
"No results were found.";"No results were found."

#views/scripts/admin-settings/faq.tpl
"1) How do I get my Scribd API details ?";"1) How do I get my Scribd API details ?"
"To sign up for a Scribd API account, visit here: ";"To sign up for a Scribd API account, visit here: "
" http://www.scribd.com/developers/signup_api_details";" http://www.scribd.com/developers/signup_api_details"
"2) How can I change the maximum limit for the event document file size ?";"2) How can I change the maximum limit for the event document file size ?"
"Go to Global Settings and change the Maximum file size setting.";"Go to Global Settings and change the Maximum file size setting."
"3)  The CSS of this plugin is not coming on my site. What should I do ?";"3)  The CSS of this plugin is not coming on my site. What should I do ?"
"Please enable the 'Development Mode' system mode for your site from the Admin homepage and then check the page which was not coming fine. It should now seem fine. Now you can again change the system mode to 'Production Mode'.";"Please enable the 'Development Mode' system mode for your site from the Admin homepage and then check the page which was not coming fine. It should now seem fine. Now you can again change the system mode to 'Production Mode'."
"First, sign up for a Scribd API account, over here: ";"First, sign up for a Scribd API account, over here: "
"Then, from the drop-down next to your name in the top-right portion of Scribd, click on 'Settings'.";"Then, from the drop-down next to your name in the top-right portion of Scribd, click on 'Settings'."
"Then go to the 'API' tab to see your API key and API secret.";"Then go to the 'API' tab to see your API key and API secret."
"Now search for the field : 'Require API signature', and make sure that the option selected for this is : 'Don't require signature'.";"Now search for the field : 'Require API signature', and make sure that the option selected for this is : 'Don't require signature'."
"3)  The CSS of this plugin is not coming on my site. What should I do ?";"3)  The CSS of this plugin is not coming on my site. What should I do ?"
"Please enable the 'Development Mode' system mode for your site from the Admin homepage and then check the page which was not coming fine. It should now seem fine. Now you can again change the system mode to 'Production Mode'.";"Please enable the 'Development Mode' system mode for your site from the Admin homepage and then check the page which was not coming fine. It should now seem fine. Now you can again change the system mode to 'Production Mode'."
"4) I am uploading documents on my website. Format conversion for most of them is being completed successfully. However, format for some documents are not getting converted. Why would this be happening?";"4) I am uploading documents on my website. Format conversion for most of them is being completed successfully. However, format for some documents are not getting converted. Why would this be happening?"
"The documents which are not getting converted might be password protected or copyrighted. So, please check such documents by uploading them at scribd (http://www.scribd.com/) to see if they are getting converted there. Scribd does not allow password protected or copyrighted documents to get converted.";"The documents which are not getting converted might be password protected or copyrighted. So, please check such documents by uploading them at scribd (http://www.scribd.com/) to see if they are getting converted there. Scribd does not allow password protected or copyrighted documents to get converted."

#views/scripts/index/create.tpl
"Event Documents";"Event Documents"
"Back to Event";"Back to Event"


#views/scripts/index/delete.tpl
"Are you sure that you want to delete the event document titled "%1$s" ? It will not be recoverable after being deleted.";"Are you sure that you want to delete the event document titled "%1$s" ? It will not be recoverable after being deleted."
"Delete";"Delete"

#views/scripts/index/edit.tpl
"Uploading";"Uploading"

#views/scripts/index/email.tpl
"To";"To"
"Attachment";"Attachment"
"Subject";"Subject"
"Message";"Message"
"submit";"submit"
"Send";"Send"

#views/scripts/index/featured.tpl
"Your document has been featured.";"Your document has been featured."
"Make Event Document Featured ?";"Make Event Document Featured ?"
"Are you sure that you want to make this event document featured ?";"Are you sure that you want to make this event document featured ?"
"Make Featured";"Make Featured"
"Make Event Document Un-featured ?";"Make Event Document Un-featured ?"
"Are you sure that you want to make this event document un-featured ?";"Are you sure that you want to make this event document un-featured ?"
"Make Un-featured";"Make Un-featured"

#views/scripts/index/publish.tpl
"Your document has been published.";"Your document has been published."
"Publish Event Document ?";"Publish Event Document ?"
