"Visit your Insights Page";"Visit your Insights Sayfa"
"_EMAIL_SITEPAGE_INSIGHTS_EMAIL_NOTIFICATION_DESCRIPTION";"This email gets send to the members when they want to recieve their sayfa insights periodically."
"_EMAIL_SITEPAGE_INSIGHTS_EMAIL_NOTIFICATION_SUBJECT";"Your[days]ly [site_title] Sayfa Update"
"_EMAIL_SITEPAGE_INSIGHTS_EMAIL_NOTIFICATION_BODY";"
[template_header]
[header]

Here is this[days]'s summary for your [site_title] Sayfa:

[message]

[footer]
[template_footer]"
"_EMAIL_DISPUTE_EMAIL_TITLE";"Dispute"
"_EMAIL_DISPUTE_EMAIL_DESCRIPTION";"This is the email that goes to a member when they disputed a sayfa and  request has been approved/declined/hold."
"_EMAIL_DISPUTE_EMAIL_SUBJECT";"Dispute approval/declined/hold."
"_EMAIL_DISPUTE_EMAIL_BODY";"[header]


Your request for dispute this sayfa [sayfatitle] has been [sayfalartatus].

[comments]

[footer]
"
"_EMAIL_SITEPAGE_TELLAFRIEND_EMAIL_TITLE";"Sayfa Tell a Friend Email"
"_EMAIL_SITEPAGE_TELLAFRIEND_EMAIL_DESCRIPTION";"This is the email that gets sent to friends when a user wants to tell them about a Sayfa."
"_EMAIL_SITEPAGE_TELLAFRIEND_EMAIL_SUBJECT";"[sender_name] wants you to visit this Sayfa"
"_EMAIL_SITEPAGE_TELLAFRIEND_EMAIL_BODY";"[header]

Your friend [sender_name] with email id: [sender_email] wants you to look at the Sayfa: [page_title].

To view and explore this sayfa, click on the link below, or copy-paste it in your browser:
[object_link]

Your friend has also sent a message:

[message]

[footer]"
"SITPAGE_VIEWS_ADMIN_PACKAGES_INDEX_DESCRIPTION";"Browse and manage sayfa packages."
"_EMAIL_SITEPAGE_PAGE_ACTIVE_TITLE";"Sayfa Activated"
"_EMAIL_SITEPAGE_PAGE_ACTIVE_DESCRIPTION";"This is the email that gets sent to a member when their sayfa is activated."
"_EMAIL_SITEPAGE_PAGE_ACTIVE_SUBJECT";"Your Sayfa: [page_title] is now active."
"_EMAIL_SITEPAGE_PAGE_ACTIVE_BODY";"[header]

Thank you for creating your sayfa on [site_title]! Your sayfa is now active.

[page_title]
[page_description]

To visit this sayfa, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]"
"_EMAIL_SITEPAGE_PAGE_CANCELLED_TITLE";"Sayfa Cancelled"
"_EMAIL_SITEPAGE_PAGE_CANCELLED_DESCRIPTION";"This is the email that gets sent to a member when their sayfa is cancelled."
"_EMAIL_SITEPAGE_PAGE_CANCELLED_SUBJECT";"Your Sayfa: [page_title] has been cancelled."
"_EMAIL_SITEPAGE_PAGE_CANCELLED_BODY";"[header]

Your sayfa: [page_title_with_link] has been cancelled.

To visit this sayfa, click on the link below, or copy-paste it in your browser:
[object_link]

If your sayfa required to be renewed, then you may do so from its dashboard.

[footer]"
"_EMAIL_SITEPAGE_PAGE_EXPIRED_TITLE";"Sayfa Expired: (for free packages)"
"_EMAIL_SITEPAGE_PAGE_EXPIRED_DESCRIPTION";"This is the email that gets sent to a member when their sayfa belonging to a free package expires."
"_EMAIL_SITEPAGE_PAGE_EXPIRED_SUBJECT";"Your Sayfa: [page_title] has expired."
"_EMAIL_SITEPAGE_PAGE_EXPIRED_BODY";"[header]


Your sayfa: [page_title_with_link] has expired. It has reached the limit of its package.


To visit this sayfa, click on the link below, or copy-paste it in your browser:
[object_link]


[footer]"
"_EMAIL_SITEPAGE_PAGE_RENEW_TITLE";"Sayfa Expired: (for paid packages)"
"_EMAIL_SITEPAGE_PAGE_RENEW_DESCRIPTION";"This is the email that gets sent to a member when their sayfa belonging to a paid package expires."
"_EMAIL_SITEPAGE_PAGE_RENEW_SUBJECT";"Your Sayfa: [page_title] has expired and needs to be renewed."
"_EMAIL_SITEPAGE_PAGE_RENEW_BODY";"[header]

Your sayfa: [page_title_with_link] has expired. It has reached the limit of its package. You may renew this sayfa from its dashboard.

To visit this sayfa, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]"
"_EMAIL_SITEPAGE_PAGE_OVERDUE_TITLE";"Sayfa Overdue"
"_EMAIL_SITEPAGE_PAGE_OVERDUE_DESCRIPTION";"This is the email that gets sent to a member when their sayfa is overdue."
"_EMAIL_SITEPAGE_PAGE_OVERDUE_SUBJECT";"Your sayfa: [page_title] is overdue."
"_EMAIL_SITEPAGE_PAGE_OVERDUE_BODY";"[header]

Your sayfa: [page_title_with_link] is overdue because of a failed or missed payment.

To visit this sayfa, click on the link below, or copy-paste it in your browser:
[object_link]

To renew your sayfa, you may do so from its dashboard.

[footer]"
"_EMAIL_SITEPAGE_PAGE_PENDING_TITLE";"Sayfa Activation Pending"
"_EMAIL_SITEPAGE_PAGE_PENDING_DESCRIPTION";"This is the email that gets sent to a member when their sayfa activation is pending."
"_EMAIL_SITEPAGE_PAGE_PENDING_SUBJECT";"Your sayfa activation is pending."
"_EMAIL_SITEPAGE_PAGE_PENDING_BODY";"[header]

Thank you for creating your sayfa on our social network! Your sayfa activation is pending, awaiting completion of the transaction. Your sayfa will be activated soon; we will notify you by email when it is ready.
Thank you for your patience.

[page_title]
[page_description]

[footer]"
"_EMAIL_SITEPAGE_PAGE_RECURRENCE_TITLE";"Sayfa Payment Recurrence"
"_EMAIL_SITEPAGE_PAGE_RECURRENCE_DESCRIPTION";"This is the email that gets sent to a member when they are billed for a recurring payment."
"_EMAIL_SITEPAGE_PAGE_RECURRENCE_SUBJECT";"Your payment for your sayfa has been billed."
"_EMAIL_SITEPAGE_PAGE_RECURRENCE_BODY";"[header]

Your payment for your sayfa has been billed. You should receive an email from the
payment gateway regarding this charge. Thank you for subscribing to our social
network.

[page_title]
[page_description]

To visit this sayfa, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]"
"_EMAIL_SITEPAGE_PAGE_REFUNDED_TITLE";"Sayfa Payment Refunded"
"_EMAIL_SITEPAGE_PAGE_REFUNDED_DESCRIPTION";"This is the email that gets sent to a member when their sayfa payment is refunded."
"_EMAIL_SITEPAGE_PAGE_REFUNDED_SUBJECT";"Your payment for your sayfa has been refunded."
"_EMAIL_SITEPAGE_PAGE_REFUNDED_BODY";"[header]

Your payment for your sayfa has been refunded.

[page_title]
[page_description]

[footer]"
"_EMAIL_SITEPAGE_PAGE_APPROVED_TITLE";"Sayfa Approved"
"_EMAIL_SITEPAGE_PAGE_APPROVED_DESCRIPTION";"This is the email that gets sent to a member when their sayfa is approved."
"_EMAIL_SITEPAGE_PAGE_APPROVED_SUBJECT";"Your Sayfa: [page_title] has been approved."
"_EMAIL_SITEPAGE_PAGE_APPROVED_BODY";"[header]

Thank you for creating your sayfa on our social network! Your sayfa has now been approved.

[page_title]
[page_description]

To visit this sayfa, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]"
"_EMAIL_SITEPAGE_PAGE_DISAPPROVED_TITLE";"Sayfa Disapproved"
"_EMAIL_SITEPAGE_PAGE_DISAPPROVED_DESCRIPTION";"This is the email that gets sent to a member when their sayfa is disapproved."
"_EMAIL_SITEPAGE_PAGE_DISAPPROVED_SUBJECT";"Your Sayfa: [page_title] has been disapproved."
"_EMAIL_SITEPAGE_PAGE_DISAPPROVED_BODY";"[header]

Your sayfa has been disapproved.

[page_title]
[page_description]

To visit this sayfa, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]"
"_EMAIL_SITEPAGE_PAGE_APPROVAL_PENDING_TITLE";"Sayfa Approval Pending"
"_EMAIL_SITEPAGE_PAGE_APPROVAL_PENDING_DESCRIPTION";"This is the email that gets sent to a member when their sayfa is pending for approval."
"_EMAIL_SITEPAGE_PAGE_APPROVAL_PENDING_SUBJECT";"Your Sayfa: [page_title] is in pending state and awaiting administrative approval."
"_EMAIL_SITEPAGE_PAGE_APPROVAL_PENDING_BODY";"[header]

Your sayfa is in pending state and awaiting administrative approval.

[page_title]
[page_description]

To visit this sayfa, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]"
"_EMAIL_SITEPAGE_PAGE_DECLINED_TITLE";"Sayfa Declined"
"_EMAIL_SITEPAGE_PAGE_DECLINED_DESCRIPTION";"This is the email that gets sent to a member when their sayfa is declined."
"_EMAIL_SITEPAGE_PAGE_DECLINED_SUBJECT";"Your Sayfa: [page_title] has been declined."
"_EMAIL_SITEPAGE_PAGE_DECLINED_BODY";"[header]

Your sayfa has been declined.

[page_title]
[page_description]

[footer]"
"_EMAIL_SITEPAGE_CLAIM_APPROVED_EMAIL_TITLE";"Sayfa Claim Approved"
"_EMAIL_SITEPAGE_CLAIM_APPROVED_EMAIL_DESCRIPTION";"This is the email that goes to a member when their claim for a sayfa has been approved."
"_EMAIL_SITEPAGE_CLAIM_APPROVED_EMAIL_SUBJECT";"Your claim for Sayfa: [page_title] has been approved"
"_EMAIL_SITEPAGE_CLAIM_APPROVED_EMAIL_BODY";"[header]

Congratulations! Your claim for the sayfa: [page_title_with_link] has been approved. You are now the owner of this Sayfa.

To visit this sayfa, click on the link below, or copy-paste it in your browser:
[object_link]

You can manage the Sayfa from its Dashboard.

[comments]

To see the status of the claims made by you for Sayfalar, please visit:
[my_claim_sayfalar_link]

[footer]
"
"_EMAIL_SITEPAGE_CLAIM_DECLINED_EMAIL_TITLE";"Sayfa Claim Declined"
"_EMAIL_SITEPAGE_CLAIM_DECLINED_EMAIL_DESCRIPTION";"This is the email that goes to a member when their claim for a sayfa has been declined."
"_EMAIL_SITEPAGE_CLAIM_DECLINED_EMAIL_SUBJECT";"Your claim for Sayfa: [page_title] has been declined"
"_EMAIL_SITEPAGE_CLAIM_DECLINED_EMAIL_BODY";"[header]

Your claim for this sayfa: [page_title_with_link] has been declined.

To visit this sayfa, click on the link below, or copy-paste it in your browser:
[object_link]

[comments]

[footer]
"
"_EMAIL_SITEPAGE_CLAIM_HOLDING_EMAIL_TITLE";"Sayfa Claim Approval on Hold"
"_EMAIL_SITEPAGE_CLAIM_HOLDING_EMAIL_DESCRIPTION";"This is the email that goes to a member when their claim for a sayfa has been put on hold for approval."
"_EMAIL_SITEPAGE_CLAIM_HOLDING_EMAIL_SUBJECT";"Your claim for Sayfa: [page_title] has been put on hold for approval"
"_EMAIL_SITEPAGE_CLAIM_HOLDING_EMAIL_BODY";"[header]

Your claim for the sayfa: [page_title_with_link] has been put on hold for approval.

To visit this sayfa, click on the link below, or copy-paste it in your browser:
[object_link]

[comments]

[footer]
"
"TERM OF CLAIM";"Terms of claiming a Sayfa"
"TERM OF CLAIM FOR PAGE POINT 1";"By clicking the save"" button when a sayfa, you hereby assert that you are either the owner,manager,employee or associate of the sayfa business,service or interest and have the express authority to own and/or manage of the sayfa of this site."""
"TERM OF CLAIM FOR PAGE POINT 2";"The website admin reserves the right to revoke or transfer ownership of this sayfa for any reason including, but not limited to, inaccurate ownership identification, misrepresentation of sayfa information and abusive spamming activity."
"_EMAIL_SITEPAGE_MANAGEADMIN_EMAIL_TITLE";"Sayfa ""Manage Admin"" Email"
"_EMAIL_SITEPAGE_MANAGEADMIN_EMAIL_DESCRIPTION";"This email is sent to the one who becomes an administrator of a sayfa."
"_EMAIL_SITEPAGE_MANAGEADMIN_EMAIL_SUBJECT";"You have become administrator of a Sayfa."
"_EMAIL_SITEPAGE_MANAGEADMIN_EMAIL_BODY";"[header]

Congratulations! [sender] has made you an administrator of this sayfa: [page_title_with_link].

To visit this sayfa, click on the link below, or copy-paste it in your browser:
[page_url]

You can manage the Sayfa from its Dashboard.

[footer]"
"_EMAIL_SITEPAGE_CHANGEOWNER_EMAIL_TITLE";"Sayfa Owner Changed"
"_EMAIL_SITEPAGE_CHANGEOWNER_EMAIL_DESCRIPTION";"This is the email that goes to a member when owner of their Sayfa has been changed."
"_EMAIL_SITEPAGE_CHANGEOWNER_EMAIL_SUBJECT";"Owner of the Sayfa: [page_title] has been changed."
"_EMAIL_SITEPAGE_CHANGEOWNER_EMAIL_BODY";"[header]

The owner of the sayfa: [page_title_with_link] has been changed. You are now no more the owner of this sayfa. All ownership rights for this sayfa have been transferred to the new owner.

For any queries or comments, you may contact us here: [site_contact_us_link].

To visit this sayfa, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]
"
"_EMAIL_SITEPAGE_BECOMEOWNER_EMAIL_TITLE";"Sayfa Ownership Given"
"_EMAIL_SITEPAGE_BECOMEOWNER_EMAIL_DESCRIPTION";"This email goes to the new owner of the Sayfa when owner of a Sayfa is changed."
"_EMAIL_SITEPAGE_BECOMEOWNER_EMAIL_SUBJECT";"You are now the owner of the Sayfa: [page_title]."
"_EMAIL_SITEPAGE_BECOMEOWNER_EMAIL_BODY";"[header]

You are now the owner of the Sayfa: [page_title_with_link]. All ownership rights for this sayfa have been provided to you.

For any queries or comments, you may contact us here: [site_contact_us_link].

To visit this sayfa, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]
"
"lock";"lock"
"unlock";"unlock"
"Unlock this widget and make it available to Page Owners for arranging, adding on, or removing from their Page Profile.";"Unlock this widget and make it available to Sayfa Owners for arranging, adding on, or removing from their Sayfa Profile."
"If you have NOT placed this widget in the Page Profile Placement area and you ""lock"" it, then this widget will NOT be available to Page Owners for placing on the Page. If you have placed this widget in the Page Profile Placement area and you ""lock"" it, then Page Owners will NOT be able to remove it or drag-n-drop it.";"If you have NOT placed this widget in the Sayfa Profile Placement area and you ""lock"" it, then this widget will NOT be available to Sayfa Owners for placing on the Sayfa. If you have placed this widget in the Sayfa Profile Placement area and you ""lock"" it, then Sayfa Owners will NOT be able to remove it or drag-n-drop it."
"Page Profile Layout DESCRIPTION";"From the Global Settings of this plugin, you
have allowed Sayfa Owners to be able to arrange, add and remove widgets from the
profile of their Sayfalar. However, you still have control over what Sayfa Profile
widgets should be available to Sayfa Owners, which widgets they should NOT be
able to remove, and which ones they should be able to remove. If you have added
a new plugin on your site, and would like its widget to be shown on Sayfa
Profiles and NOT be removable by Sayfa Owners, then you can drop that widget into
Sayfa Profile below. If you would like to show an announcement, or any HTML
content on Sayfa Profiles, and NOT allow Sayfa Owners to be able to remove it,
then you can do that as well below. If there is a widget coming on profiles of
Sayfalar of your site that you want to be removed, then you can do that below; and
many more such actions.
If you drop a widget from a different plugin into the Sayfa Profile, then Sayfa
Owners will NOT be able to remove it or drag-n-drop it. If you ""lock"" a Sayfa
Profile widget that has NOT been placed in the Sayfa Profile Placement area, then
that widget will NOT be available to Sayfa Owners for placing on the Sayfa. If you
""lock"" a Sayfa Profile widget that has been placed in the Sayfa Profile
Placement area, then Sayfa Owners will NOT be able to remove it or drag-n-drop
it.<br />NOTE: If you have placed ""Ad Campaign"" or ""Html Block"" on this sayfa, then
once you click on the ""Save Changes"" link, you will neither be able to change
the position nor edit that block. So, if you want to do so, you will have to
remove that block from the Sayfa and save changes and then place it again from
the Available Blocks."
"PARENT_KEY_NOT_VALID";"Please check your License key for Directory/Sayfalar Plugin. You might be using an uncorrect license key for this Plugin."
"Page Offers List Page";"Sayfa Offers List Sayfalar"
"How many ads will be shown on page offers list page?";"How many ads will be shown on sayfa offers list sayfa?"
"Show in Updates Tab";"Show in Updates Tab"
"Only Open Pages";"Only Open Sayfalar"
"Only Closed Pages";"Only Closed Sayfalar"
"This is a free page package. One does not need to pay for creating a page of this package.";"This is a free sayfa package. One does not need to pay for creating a sayfa of this package."
"Free Page Package";"Free Sayfa Package"
"Which activities should be shown in Updates Tab ?";"Which activities should be shown in Updates Tab ?"
"All Posts";"All Posts"
"Only Posts By Page";"Only Posts By Sayfa"
"ADMIN_ACTIVITY_TYPE_SITEPAGE_LIKE_VIEWER";"When member like the sayfa."
"_ACTIVITY_ACTIONTYPE_SITEPAGE_LIKE_VIEWER";"When I likes the sayfa"
"ITEM_TYPE_SITEPAGE_ALBUM";"Sayfa Albums"
"Do you want to show Ads on paid Pages ? (Setting this ""No"" will not display the Ads on Pages which belong to paid packages.)";"Do you want to show Ads on paid Sayfalar ? (Setting this ""No"" will not display the Ads on Sayfalar which belong to paid packages.)"
"Who may upload music for this page?";"Who may upload music for this sayfa?"
"Music Creation Privacy";"Music Creation Privacy"
"{item:$subject} changed their Page profile photo.";"{item:$subject} changed their Sayfa profile photo."
"_ACTIVITY_ACTIONTYPE_SITEPAGE_PROFILE_PHOTO_UPDATE";"When Sayfa Admin change their Sayfa profile photo as User."
"ADMIN_ACTIVITY_TYPE_SITEPAGE_PROFILE_PHOTO_UPDATE";"When Sayfa Admin change their Sayfa profile photo as User."
"Display Community Ads in pages of this package at various positions as configured in Ad Settings. (With this setting, you can choose to grant privilege of being ad-free to pages of special / paid packages.)";"Display Community Ads in sayfalar of this package at various positions as configured in Ad Settings. (With this setting, you can choose to grant privilege of being ad-free to sayfalar of special / paid packages.)"
"You cannot configure this setting for packages because you have disabled Community Ads display for pages using ""Community Ads in this plugin"" field in Ad Settings.";"You cannot configure this setting for packages because you have disabled Community Ads display for sayfalar using ""Community Ads in this plugin"" field in Ad Settings."
"AJAX Search for Pages";"AJAX Search for Sayfalar"
"This widget searches over Page Titles via AJAX. The search interface is similar to Facebook search.";"This widget searches over Sayfa Titles via AJAX. The search interface is similar to Facebook search."
"Community Ads Display";"Community Ads Display"
"Alphabetic Filtering of Pages";"Alphabetic Filtering of Sayfalar"
"This widget enables users to alphabetically filter the directory items / pages on your site by clicking on the desired alphabet. The widget shows all the alphabets for filtering.";"This widget enables users to alphabetically filter the directory items / sayfalar on your site by clicking on the desired alphabet. The widget shows all the alphabets for filtering."
"Ads Display";"Ads Display"
"There is no anyone extension available on this site.";"There is no anyone extension available on this site."
"LANG_FLAG_A";"A"
"LANG_FLAG_B";"B"
"LANG_FLAG_C";"C"
"LANG_FLAG_D";"D"
"LANG_FLAG_E";"E"
"LANG_FLAG_F";"F"
"LANG_FLAG_G";"G"
"LANG_FLAG_H";"H"
"LANG_FLAG_I";"I"
"LANG_FLAG_J";"J"
"LANG_FLAG_K";"K"
"LANG_FLAG_L";"L"
"LANG_FLAG_M";"M"
"LANG_FLAG_N";"N"
"LANG_FLAG_O";"O"
"LANG_FLAG_P";"P"
"LANG_FLAG_Q";"Q"
"LANG_FLAG_R";"R"
"LANG_FLAG_S";"S"
"LANG_FLAG_T";"T"
"LANG_FLAG_U";"U"
"LANG_FLAG_V";"V"
"LANG_FLAG_W";"W"
"LANG_FLAG_X";"X"
"LANG_FLAG_Y";"Y"
"LANG_FLAG_Z";"Z"
"LANG_FLAG_All";"All"
"Networks Selection";"Networks Selection"
"Select the networks, members of which should be able to see your page. (Press Ctrl and click to select multiple networks. You can also choose to make your page viewable to everyone.)";"Select the networks, members of which should be able to see your sayfa. (Press Ctrl and click to select multiple networks. You can also choose to make your sayfa viewable to everyone.)"
"Network selection for Pages";"Network selection for Sayfalar"
"You have chosen that viewers should only see Pages of their network(s). How should a Page's network(s) be decided?";"You have chosen that viewers should only see Sayfalar of their network(s). How should a Sayfa's network(s) be decided?"
"Page Owner's network(s) [If selected, only members belonging to page owner's network(s) will see the Pages.]";"Sayfa Owner's network(s) [If selected, only members belonging to sayfa owner's network(s) will see the Sayfalar.]"
"Selected Networks [If selected, page admins will be able to choose the networks of which members will be able to see their Page.]";"Selected Networks [If selected, sayfa admins will be able to choose the networks of which members will be able to see their Sayfa.]"
"Activity Feed Settings";"Activity Feed Settings"
"3%s Level Category:";"3%s Level Category:"
"3%s Level Category";"3%s Level Category"
"Do you want to show all the categories, subcategories and 3rd level categories which are not belongs to any pages.";"Do you want to show all the categories, subcategories and 3rd level categories which are not belongs to any sayfalar."
"Are you sure you want to delete this 3rd level category?";"Are you sure you want to delete this 3rd level category?"
"Slug URL";"Slug URL"
"Do you want to replace blank-space in your category name by ""-"" in URL?";"Do you want to replace blank-space in your category name by ""-"" in URL?"
"Do you want to show 3rd level category to the viewer? (This setting will depend on above setting.)";"Do you want to show 3rd level category to the viewer? (This setting will depend on above setting.)"
"Do you want to show sub-categories in this widget?";"Do you want to show sub-categories in this widget?"
"Do you want all the categories, sub-categories and 3rd level categories to be shown to the user even if they have 0 pages in them?";"Do you want all the categories, sub-categories and 3rd level categories to be shown to the user even if they have 0 sayfalar in them?"
"Below you have been given the options to customize the Activity Feeds related to Pages. These customizations in Activity Feeds need some mandatory changes to be done in the activity feed file which are specified below. (With every setting below, we have provided as the first option that you can replace the Core ""Activity Feed"" widget with the SocialEngineAddOns ""Activity Feed"" widget and then you will not have to modify the core activity files. If that option is not chosen by you, you would need to either automatically or manually modify the files by choosing one of the other 2 options.) Once you configure all the settings below, click on ""Save Changes"" to save them.";"Below you have been given the options to customize the Activity Feeds related to Sayfalar. These customizations in Activity Feeds need some mandatory changes to be done in the activity feed file which are specified below. (With every setting below, we have provided as the first option that you can replace the Core ""Activity Feed"" widget 
with the SocialEngineAddOns ""Activity Feed"" widget and then you will not have to modify the core activity files. If that option is not chosen by you, you would need to either automatically or manually modify the files by choosing one of the other 2 options.) Once you configure all the settings below, click on ""Save Changes"" to save them."
"Page Admin\'s Photo and Name";"Sayfa Admin\'s Photo and Name"
"Page\'s Photo and Title";"Sayfa\'s Photo and Title"
"Activity Feeds of Pages Liked";"Activity Feeds of Sayfalar Liked"
"Do you want users to receive the activity feeds of Pages that they have liked on their homepage?";"Do you want users to receive the activity feeds of Sayfalar that they have liked on their homesayfa?"
"Feed Content on Page Profile";"Feed Content on Sayfa Profile"
"You have selected ""My Friends & Networks"" or ""My Friends"" option for the ""Feed Content"" field in Activity Feed Settings (""Settings"" > ""Activity Feed Settings""). Do you want the Feed Content on Page Profiles to be unaffected by that setting, such that all activity feeds be shown on Page Profiles irrespective of the setting there?";"You have selected ""My Friends & Networks"" or ""My Friends"" option for the ""Feed Content"" field in Activity Feed Settings (""Settings"" > ""Activity Feed Settings""). Do you want the Feed Content on Sayfa Profiles to be unaffected by that setting, such that all activity feeds be shown on Sayfa Profiles irrespective of the setting there?"
"If you also want to show Page's photo and title in Page Profile activity feeds for posts from Page's status sharing box in Updates tab, then follow ANY ONE of the below 3 options. (Even if you do not follow any of the below options, page activity feeds other than status posts will be displayed with Page's photo and title.)";"If you also want to show Sayfa's photo and title in Sayfa Profile activity feeds for posts from Sayfa's status sharing box in Updates tab, then follow ANY ONE of the below 3 options. (Even if you do not follow any of the below options, sayfa activity feeds other than status posts will be displayed with Sayfa's photo and title.)"
"Activity Feeds for Page Status posts";"Activity Feeds for Sayfa Status posts"
"Use ""SocialEngineAddOns Activity Feed"" widget instead of core ""Activity Feed"" widget. (For this, go to ""Layout"" > ""Layout Editor"" > ""Page Profile"" and replace the already placed ""Activity Feed"" widget with ""SocialEngineAddOns Activity Feed"" widget.)";"Use ""SocialEngineAddOns Activity Feed"" widget instead of core ""Activity Feed"" widget. (For this, go to ""Layout"" > ""Layout Editor"" > ""Sayfa Profile"" and replace the already placed ""Activity Feed"" widget with ""SocialEngineAddOns Activity Feed"" widget.)"
" to automatically overwrite the file: ""/application/modules/Activity/controllers/IndexController.php"" with the required minor modification. (If you do not want automatic overwriting of file, you can choose the 3rd option for manual changes which also shows the minor modification required.";" to automatically overwrite the file: ""/application/modules/Activity/controllers/IndexController.php"" with the required minor modification. (If you do not want automatic overwriting of file, you can choose the 3rd option for manual changes which also shows the minor modification required."
"If you do not want to follow any of the above two options, then you can manually do the minor code modification. (Please see below the steps that you need to follow.)";"If you do not want to follow any of the above two options, then you can manually do the minor code modification. (Please see below the steps that you need to follow.)"
"Core Activity Feed widget is placed on the Page Profile page. So, either replace it with SocialEngineAddOns Activity Feed widget there or follow one of the remaining 2 options above.";"Core Activity Feed widget is placed on the Sayfa Profile sayfa. So, either replace it with SocialEngineAddOns Activity Feed widget there or follow one of the remaining 2 options above."
"You have already placed SocialEngineAddOns Activity Feed widget on Page Profile page. Now, if you want to replace it with core Activity Feed widget, you can do so and then you would have to follow one of the remaining 2 options above.";"You have already placed SocialEngineAddOns Activity Feed widget on Sayfa Profile sayfa. Now, if you want to replace it with core Activity Feed widget, you can do so and then you would have to follow one of the remaining 2 options above."
"You have enabled the ""Edit Page Layout"" field from Global Settings, allowing Page Admins to control page layout. %s to replace core ""Activity Feed"" widget with ""SocialEngineAddOns Activity Feed"" widget for existing Pages on your website.";"You have enabled the ""Edit Sayfa Layout"" field from Global Settings, allowing Sayfa Admins to control sayfa layout. %s to replace core ""Activity Feed"" widget with ""SocialEngineAddOns Activity Feed"" widget for existing Sayfalar on your website."
"No changes have been done in the activity feed file for the above customization.";"No changes have been done in the activity feed file for the above customization."
"The required changes have been successfully done for showing Page photo and title in activity feeds for Page status posts.";"The required changes have been successfully done for showing Sayfa photo and title in activity feeds for Sayfa status posts."
"Please follow the steps below to manually do these changes in the file:";"Please follow the steps below to manually do these changes in the file:"
"1) Open the file with path: ""/application/modules/Activity/controllers/IndexController.php"".";"1) Open the file with path: ""/application/modules/Activity/controllers/IndexController.php""."
"2) Search for the block of code given below in this file at line no. 147 (approx) :";"2) Search for the block of code given below in this file at line no. 147 (approx) :"
"3) Now, place the below block of code just above the code mentioned above:";"3) Now, place the below block of code just above the code mentioned above:"
"Target File does not exist.";"Target File does not exist."
"Remove from Plugins dropdown";"Remove from Plugins dropdown"
"Add to the Plugins dropdown";"Add to the Plugins dropdown"
"Add/Remove from Plugins dropdown";"Add/Remove from Plugins dropdown"
"ADMIN_ACTIVITY_TYPE_SITEPAGE_POST_SELF";"When sayfa admin(subject) posts a status update on sayfa profile(object)."
"ADMIN_ACTIVITY_TYPE_SITEPAGE_POST";"When user(subject) posts a status update on sayfa profile(object)."
"_ACTIVITY_ACTIONTYPE_SITEPAGE_POST_SELF";"Posting a status update on sayfa profile being its sayfa admin."
"_ACTIVITY_ACTIONTYPE_SITEPAGE_POST";"Posting a status update on sayfa profile being a normal member."
"We have moved these ""Widget Settings"" to ""Layout Editor"". You can change the desired settings of the respective widgets from ""Layout Editor"" by clicking on the ""edit"" link.";"We have moved these ""Widget Settings"" to ""Layout Editor"". You can change the desired settings of the respective widgets from ""Layout Editor"" by clicking on the ""edit"" link."
"Email ID";"Email ID"
"Email Me";"Email Me"
"Visit Website";"Visit Website"
"Page Profile Contact Details";"Sayfa Profile Contact Details"
"Displays the Contact Details of a page. This widget should be placed on the Page Profile.";"Displays the Contact Details of a sayfa. This widget should be placed on the Sayfa Profile."
"Displays the Contact Details of your Page.";"Displays the Contact Details of your Sayfa."
"{item:$object} {body:$body}";"'{item:$object} {body:$body}"
"_ACTIVITY_ACTIONTYPE_SITEPAGE_ADMIN_PROFILE_PHOTO";"When Sayfa Admin change their Sayfa profile photo as Sayfa."
"ADMIN_ACTIVITY_TYPE_SITEPAGE_ADMIN_PROFILE_PHOTO";"When Sayfa Admin change their Sayfa profile photo as Sayfa."
"{item:$object} changed their Page profile photo.";"{item:$object} changed their Sayfa profile photo."
"I have read and agree to the <a href='javascript:void(0);' onclick=window.open('%s','mywindow','width=500,height=500')>terms of service</a>.";"I have read and agree to the <a href='javascript:void(0);' onclick=window.open('%s','mywindow','width=500,height=500')>terms of service</a>."
"Music";"Music"
"Show in ""Other available Packages"" List";"Show in ""Other available Packages"" List"
"Yes, enable custom CSS styles.";"Yes, enable custom CSS styles."
"No, disable custom CSS styles.";"No, disable custom CSS styles."
"Email Body Outer Background";"Email Body Outer Background"
"Select the background color of the outer area in the email around the mail content. (Click on the rainbow below to choose your color.)";"Select the background color of the outer area in the email around the mail content. (Click on the rainbow below to choose your color.)"
"Total Playlist";"Total Playlist"
"Total Songs";"Total Songs"
"Page Block Placement";"Sayfa Block Placement"
"Edit Columns";"Edit Columns"
"Page Profile Linked Pages";"Sayfa Profile Linked Sayfalar"
